epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,433.735,1.36372,1.16902,1.35664,0.80511,0.75217,0.8483,0.5192,1.33823,1.06702,1.26174,0.000848969,0.000848969,0.000848969
43,443.736,1.34565,1.15668,1.34859,0.80874,0.75217,0.84483,0.49304,1.38005,1.01443,1.25573,0.000834822,0.000834822,0.000834822
44,453.954,1.39711,1.18102,1.37833,0.92476,0.72609,0.87002,0.55546,1.26278,0.89146,1.21199,0.000820675,0.000820675,0.000820675
45,464.016,1.37742,1.14316,1.35763,0.88076,0.75217,0.87576,0.5421,1.31874,0.88832,1.23501,0.000806528,0.000806528,0.000806528
46,473.992,1.34744,1.12877,1.34308,0.8449,0.78158,0.88233,0.55493,1.27811,0.85731,1.21387,0.00079238,0.00079238,0.00079238
47,484.172,1.36104,1.14548,1.35999,0.89574,0.78448,0.8988,0.55665,1.29054,0.84252,1.22882,0.000778233,0.000778233,0.000778233
48,494.254,1.3528,1.11958,1.35231,0.85726,0.81739,0.90604,0.57443,1.26852,0.80921,1.21331,0.000764086,0.000764086,0.000764086
49,504.524,1.35458,1.13097,1.36484,0.83432,0.7882,0.88262,0.56932,1.24489,0.84758,1.20873,0.000749939,0.000749939,0.000749939
50,514.716,1.37325,1.12555,1.36426,0.82024,0.81338,0.88229,0.54857,1.2421,0.84653,1.20275,0.000735792,0.000735792,0.000735792
51,524.804,1.35894,1.12804,1.35555,0.82929,0.7913,0.88123,0.55911,1.26586,0.87034,1.20635,0.000721645,0.000721645,0.000721645
52,534.928,1.33291,1.07567,1.34476,0.82801,0.82609,0.905,0.55949,1.30587,0.81239,1.21705,0.000707498,0.000707498,0.000707498
53,545.081,1.30503,1.08312,1.32192,0.81401,0.81825,0.89837,0.57804,1.23283,0.82184,1.19221,0.000693351,0.000693351,0.000693351
54,555.259,1.33992,1.08229,1.3331,0.89853,0.8,0.89827,0.59321,1.19564,0.80044,1.18524,0.000679204,0.000679204,0.000679204
55,565.396,1.33763,1.07504,1.33884,0.8614,0.84783,0.90624,0.54528,1.3142,0.82592,1.20526,0.000665057,0.000665057,0.000665057
56,575.725,1.33902,1.06879,1.31939,0.86324,0.7913,0.89365,0.57188,1.17639,0.8242,1.18638,0.000650909,0.000650909,0.000650909
57,586.187,1.31962,1.04416,1.30658,0.90268,0.82609,0.91989,0.60021,1.19453,0.7623,1.17196,0.000636762,0.000636762,0.000636762
58,596.573,1.29009,1.0309,1.30661,0.85595,0.86957,0.9297,0.58016,1.28042,0.75635,1.19326,0.000622615,0.000622615,0.000622615
59,606.96,1.31663,1.07585,1.33513,0.89894,0.85652,0.93533,0.61292,1.18039,0.76222,1.16878,0.000608468,0.000608468,0.000608468
60,617.531,1.30148,1.03809,1.30935,0.90062,0.7913,0.90953,0.59705,1.20948,0.76584,1.19056,0.000594321,0.000594321,0.000594321
61,627.958,1.25669,1.01154,1.28826,0.87277,0.81304,0.91981,0.58247,1.22093,0.79135,1.17805,0.000580174,0.000580174,0.000580174
62,638.132,1.30319,1.02858,1.31642,0.89619,0.82609,0.92009,0.60625,1.19551,0.80636,1.16505,0.000566027,0.000566027,0.000566027
63,648.262,1.27957,0.997,1.30369,0.88482,0.82174,0.9199,0.61446,1.17852,0.75992,1.16652,0.00055188,0.00055188,0.00055188
64,658.532,1.27782,0.99501,1.31511,0.88624,0.85217,0.92245,0.61418,1.1823,0.78639,1.17316,0.000537733,0.000537733,0.000537733
65,668.743,1.2517,0.9813,1.29443,0.91052,0.84348,0.93931,0.59557,1.21411,0.77507,1.1788,0.000523586,0.000523586,0.000523586
66,678.855,1.23104,0.98695,1.27736,0.85925,0.86522,0.92558,0.60734,1.20381,0.74569,1.16913,0.000509438,0.000509438,0.000509438
67,688.888,1.22285,0.92589,1.26174,0.92714,0.84348,0.94813,0.62362,1.20081,0.69311,1.15902,0.000495291,0.000495291,0.000495291
68,698.893,1.22027,0.94752,1.26623,0.94677,0.85217,0.95547,0.63868,1.18059,0.67202,1.13851,0.000481144,0.000481144,0.000481144
69,709.144,1.24784,0.98092,1.28809,0.92211,0.87504,0.94929,0.63418,1.16902,0.70785,1.1422,0.000466997,0.000466997,0.000466997
70,719.243,1.25216,0.95749,1.28574,0.91893,0.90435,0.96335,0.65164,1.11746,0.64732,1.11568,0.00045285,0.00045285,0.00045285
71,729.197,1.25032,0.98109,1.27021,0.92147,0.85652,0.94467,0.63104,1.16117,0.68541,1.13523,0.000438703,0.000438703,0.000438703
72,739.221,1.25013,0.9633,1.27447,0.87991,0.8913,0.95176,0.59488,1.2835,0.69932,1.16752,0.000424556,0.000424556,0.000424556
73,749.456,1.21277,0.94713,1.27218,0.89043,0.8833,0.95452,0.6433,1.1537,0.6615,1.12579,0.000410409,0.000410409,0.000410409
74,759.546,1.23102,0.96229,1.27881,0.92092,0.88261,0.95601,0.63535,1.1455,0.66947,1.11651,0.000396262,0.000396262,0.000396262
75,769.668,1.22017,0.92925,1.25505,0.92265,0.89565,0.96161,0.65493,1.11601,0.64561,1.11369,0.000382115,0.000382115,0.000382115
76,780.735,1.22431,0.91934,1.25839,0.89718,0.89565,0.96112,0.65388,1.12349,0.63758,1.10878,0.000367967,0.000367967,0.000367967
77,793.245,1.20777,0.925,1.25485,0.88752,0.93043,0.96336,0.65366,1.131,0.6484,1.1065,0.00035382,0.00035382,0.00035382
78,805.66,1.21682,0.92705,1.25934,0.91694,0.91195,0.96475,0.66513,1.10418,0.61905,1.09817,0.000339673,0.000339673,0.000339673
79,816.82,1.1752,0.88409,1.23682,0.90975,0.87653,0.95623,0.67011,1.06293,0.63809,1.07774,0.000325526,0.000325526,0.000325526
80,827.252,1.19451,0.90546,1.24633,0.89312,0.9,0.96059,0.65587,1.09843,0.68937,1.09801,0.000311379,0.000311379,0.000311379
81,837.709,1.17273,0.89401,1.23859,0.90293,0.93023,0.9695,0.67836,1.07563,0.59817,1.08711,0.000297232,0.000297232,0.000297232
82,848.238,1.22209,0.91478,1.25056,0.88812,0.93186,0.96992,0.67848,1.05602,0.60383,1.06288,0.000283085,0.000283085,0.000283085
83,858.513,1.15315,0.86034,1.22369,0.90908,0.93043,0.97061,0.69859,1.00974,0.57372,1.05355,0.000268938,0.000268938,0.000268938
84,868.993,1.19236,0.89562,1.25087,0.90141,0.91427,0.96674,0.68245,1.02206,0.61123,1.05703,0.000254791,0.000254791,0.000254791
85,879.586,1.16682,0.83968,1.21516,0.92507,0.90435,0.96626,0.68352,1.03348,0.60415,1.06779,0.000240644,0.000240644,0.000240644
86,890.103,1.1621,0.88635,1.23049,0.94101,0.90169,0.97042,0.67823,1.06541,0.57512,1.07698,0.000226497,0.000226497,0.000226497
87,900.311,1.17065,0.86391,1.23372,0.9248,0.91739,0.97275,0.69018,1.01986,0.58282,1.05235,0.000212349,0.000212349,0.000212349
88,910.644,1.14512,0.84404,1.22025,0.9195,0.93913,0.97236,0.69489,1.01718,0.57707,1.04941,0.000198202,0.000198202,0.000198202
89,920.975,1.11305,0.81862,1.2029,0.94902,0.90435,0.9734,0.69428,1.01161,0.59317,1.04627,0.000184055,0.000184055,0.000184055
90,931.522,1.13639,0.82975,1.20399,0.93505,0.93886,0.9799,0.70137,1.00592,0.54813,1.05251,0.000169908,0.000169908,0.000169908
91,948.804,1.03426,0.75404,1.1369,0.93801,0.88696,0.96628,0.68668,0.99495,0.5687,1.06017,0.000155761,0.000155761,0.000155761
92,959.042,1.00534,0.65674,1.11651,0.93381,0.92174,0.96145,0.68696,1.0201,0.59613,1.05875,0.000141614,0.000141614,0.000141614
93,969.279,0.97978,0.63379,1.10656,0.92426,0.90197,0.96188,0.69054,0.9822,0.57671,1.03681,0.000127467,0.000127467,0.000127467
94,979.44,0.97847,0.61958,1.10089,0.90169,0.95705,0.96863,0.69263,0.99404,0.57191,1.04957,0.00011332,0.00011332,0.00011332
95,989.546,0.95417,0.61001,1.09391,0.91495,0.94783,0.97597,0.69675,0.98267,0.55072,1.04344,9.91726e-05,9.91726e-05,9.91726e-05
96,999.694,0.957,0.59578,1.09352,0.91287,0.94783,0.9772,0.71181,0.96206,0.54434,1.02972,8.50255e-05,8.50255e-05,8.50255e-05
97,1009.99,0.95975,0.59475,1.09002,0.9229,0.94783,0.97858,0.7201,0.96497,0.53475,1.03525,7.08784e-05,7.08784e-05,7.08784e-05
98,1020.19,0.93532,0.5835,1.07682,0.93587,0.9518,0.98169,0.71836,0.95869,0.52496,1.03247,5.67313e-05,5.67313e-05,5.67313e-05
99,1030.4,0.94141,0.58458,1.07871,0.9281,0.95652,0.97979,0.72234,0.9574,0.52233,1.02877,4.25842e-05,4.25842e-05,4.25842e-05
100,1040.72,0.9388,0.57643,1.08005,0.95482,0.91886,0.98068,0.72645,0.93644,0.51815,1.0235,2.84371e-05,2.84371e-05,2.84371e-05
